7840,Abkhazia Fixed,0.1452,1,1
7940,Abkhazia Mobile,0.1956,1,1
79407,Abkhazia Mobile - A-Mobile,0.1793,1,1
79409,Abkhazia Mobile - Aquafon,0.1828,1,1
93,Afghanistan Fixed,0.2041,1,1
9375,Afghanistan Mobile - At,0.2172,1,1
9370,Afghanistan Mobile - AWCC,0.2014,1,1
9378,Afghanistan Mobile - Etisalat,0.1904,1,1
9376,Afghanistan Mobile - MTN,0.2218,1,1
9377,Afghanistan Mobile - MTN,0.2218,1,1
9372,Afghanistan Mobile - Roshan,0.2288,1,1
9379,Afghanistan Mobile - Roshan,0.2288,1,1
355,Albania Fixed,0.1296,1,1
3554249,Albania Fixed - AlbTel,0.1264,1,1
3554250,Albania Fixed - OLO,0.1272,1,1
3554251,Albania Fixed - OLO,0.1272,1,1
3554252,Albania Fixed - OLO,0.1272,1,1
3554,Albania Fixed - Tirana,0.1306,1,1
35568,Albania Mobile - AMC,0.3512,1,1
35567,Albania Mobile - Eagle,0.3229,1,1
35566,Albania Mobile - Plus,0.3431,1,1
35569,Albania Mobile - Vodafone,0.331,1,1
213,Algeria Fixed,0.0583,1,1
21320,Algeria Fixed - Algiers,0.0583,1,1
21321,Algeria Fixed - Algiers,0.0583,1,1
21322,Algeria Fixed - Algiers,0.0583,1,1
21396190,Algeria Mobile - Algeria Telecom Satellite,0.0666,1,1
21396,Algeria Mobile - Divona Satellite,0.0583,1,1
21377,Algeria Mobile - Djezzy,0.3144,1,1
21378,Algeria Mobile - Djezzy,0.3144,1,1
21379,Algeria Mobile - Djezzy,0.3144,1,1
21365,Algeria Mobile - Mobilis,0.354,1,1
21366,Algeria Mobile - Mobilis,0.354,1,1
21367,Algeria Mobile - Mobilis,0.354,1,1
21368,Algeria Mobile - Mobilis,0.354,1,1
21369,Algeria Mobile - Mobilis,0.354,1,1
21396191,Algeria Mobile - Orascom Satellite,0.0569,1,1
2135,Algeria Mobile - Wataniya,0.4118,1,1
1684,American Samoa Fixed,0.0342,1,1
16842,American Samoa Mobile,0.0342,1,1
168473,American Samoa Mobile,0.0342,1,1
376,Andorra Fixed,0.017,1,1
3763,Andorra Mobile,0.1537,1,1
3764,Andorra Mobile,0.1537,1,1
3765,Andorra Mobile,0.1537,1,1
3766,Andorra Mobile,0.1537,1,1
244,Angola Fixed,0.066,1,1
24491,Angola Mobile - Movicel,0.0643,1,1
24499,Angola Mobile - Movicel,0.0643,1,1
24492,Angola Mobile - Unitel,0.0619,1,1
24493,Angola Mobile - Unitel,0.0619,1,1
24494,Angola Mobile - Unitel,0.0619,1,1
1264,Anguilla Fixed,0.101,1,1
1264235,Anguilla Mobile,0.2218,1,1
1264469,Anguilla Mobile,0.2218,1,1
1264476,Anguilla Mobile,0.2218,1,1
1264536,Anguilla Mobile,0.2218,1,1
1264537,Anguilla Mobile,0.2218,1,1
1264538,Anguilla Mobile,0.2218,1,1
1264539,Anguilla Mobile,0.2218,1,1
1264543,Anguilla Mobile,0.2218,1,1
1264729,Anguilla Mobile,0.2218,1,1
1264772,Anguilla Mobile,0.2218,1,1
1264581,Anguilla Mobile - Digicel,0.2232,1,1
1264582,Anguilla Mobile - Digicel,0.2232,1,1
1264583,Anguilla Mobile - Digicel,0.2232,1,1
1264584,Anguilla Mobile - Digicel,0.2232,1,1
672,Antarctic Territories,1.5131,1,1
672167,Antarctica - Special Services,6,60,60
67212,Antarctica Casey,1.461,1,1
6721,Antarctica Norfolk Island,1.5131,1,1
6728,Antarctica Norfolk Island,1.5131,1,1
67211,Antarctica Scott Base,1.461,1,1
